"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00200842","2001-11-01","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    3",",,0,0700","    0","P,,0",,,"  200",",,0","   56",",,0",,,,,,,"  117",",,0,0700",,
"USC00200842","2001-11-02","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   28",",,0,0700","    0","P,,0","    0","P,,0","  189",",,0","  117",",,0",,,,,,,"  133",",,0,0700",,
"USC00200842","2001-11-03","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   18",",,0,0700","    0","P,,0","    0","P,,0","  189",",,0","   33",",,0",,,,,,,"   67",",,0,0700",,
"USC00200842","2001-11-04","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  167",",,0","   39",",,0",,,,,,,"   83",",,0,0700",,
"USC00200842","2001-11-05","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  167",",,0","  -11",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2001-11-06","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  106",",,0","  -22",",,0",,,,,,,"  -17",",,0,0700",,
"USC00200842","2001-11-07","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  144",",,0","  -17",",,0",,,,,,,"   56",",,0,0700",,
"USC00200842","2001-11-08","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  178",",,0","   50",",,0",,,,,,,"   67",",,0,0700",,
"USC00200842","2001-11-09","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   15",",,0,0700","    0","P,,0","    0","P,,0","  178",",,0","  -22",",,0",,,,,,,"   50",",,0,0700",,
"USC00200842","2001-11-10","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   94",",,0","   11",",,0",,,,,,,"   39",",,0,0700",,
"USC00200842","2001-11-11","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  139",",,0","    0",",,0",,,,,,,"   44",",,0,0700",,
