"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00201502","1978-05-01","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-02","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-03","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-04","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-05","42.3263","-84.0133","274.3","CHELSEA, MI US","   20",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-06","42.3263","-84.0133","274.3","CHELSEA, MI US","   33",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-07","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-08","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-09","42.3263","-84.0133","274.3","CHELSEA, MI US","   64",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-10","42.3263","-84.0133","274.3","CHELSEA, MI US","   18",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-11","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-12","42.3263","-84.0133","274.3","CHELSEA, MI US","   69",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-13","42.3263","-84.0133","274.3","CHELSEA, MI US","  249",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-14","42.3263","-84.0133","274.3","CHELSEA, MI US","  198",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-15","42.3263","-84.0133","274.3","CHELSEA, MI US","   15",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-16","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-17","42.3263","-84.0133","274.3","CHELSEA, MI US","    3",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-18","42.3263","-84.0133","274.3","CHELSEA, MI US","    5",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-19","42.3263","-84.0133","274.3","CHELSEA, MI US","    3",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-20","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-21","42.3263","-84.0133","274.3","CHELSEA, MI US","   99",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-22","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-23","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-05-24","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
