"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00205050","2001-12-01","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","   67",",,0","  -22",",,0",,,"  -11",",,0,",,
"USC00205050","2001-12-02","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","   67",",,0","  -11",",,0",,,"   33",",,0,",,
"USC00205050","2001-12-03","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","  156",",,0","   22",",,0",,,"  100",",,0,",,
"USC00205050","2001-12-04","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","  156",",,0","   94",",,0",,,"  106",",,0,",,
"USC00205050","2001-12-05","42.1508","-84.0236","294.1","MANCHESTER, MI US","    5",",,0,","    0","P,,0,","    0","P,,0,","  206",",,0","   83",",,0",,,"   83",",,0,",,
"USC00205050","2001-12-06","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","  106",",,0","    0",",,0",,,"   44",",,0,",,
"USC00205050","2001-12-07","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,","    0","P,,0,","    0","P,,0,","  106",",,0","   11",",,0",,,"   22",",,0,",,
"USC00205050","2001-12-08","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0","T,,0,0700","    0","P,,0,","    0","P,,0,","   72",",,0","    0",",,0",,,"   11",",,0,0700",,
"USC00205050","2001-12-09","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,0700","    0","P,,0,","    0","P,,0,","   50",",,0","  -50",",,0",,,"  -50",",,0,0700",,
"USC00205050","2001-12-10","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,0700","    0","P,,0,","    0","P,,0,","   89",",,0","  -50",",,0",,,"  -44",",,0,0700",,
"USC00205050","2001-12-11","42.1508","-84.0236","294.1","MANCHESTER, MI US","    0",",,0,0700","    0","P,,0,","    0","P,,0,","   89",",,0","  -44",",,0",,,"   17",",,0,0700",,
