"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00205563","2003-03-01","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-02","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-03","41.9069","-83.4158","178.6","MONROE, MI US",,,"    3",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-04","41.9069","-83.4158","178.6","MONROE, MI US","    8",",,0,0800","    0",",,0,","  152",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-05","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","   33",",,0,","  203",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-06","41.9069","-83.4158","178.6","MONROE, MI US",,,"   25",",,0,","  152",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-07","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0",",,0,","  127",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-08","41.9069","-83.4158","178.6","MONROE, MI US","  127",",,0,0800","    0","P,,0,","   51",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-09","41.9069","-83.4158","178.6","MONROE, MI US",,,"    5",",,0,","   76",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-10","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","   51",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-11","41.9069","-83.4158","178.6","MONROE, MI US","  102",",,0,0800","   13",",,0,","   25",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-12","41.9069","-83.4158","178.6","MONROE, MI US",,,"   25",",,0,","   25",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-13","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","   25",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-14","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","   51",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-15","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-16","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-17","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-18","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-19","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-20","41.9069","-83.4158","178.6","MONROE, MI US","   51",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-21","41.9069","-83.4158","178.6","MONROE, MI US","   25",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-22","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-23","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-24","41.9069","-83.4158","178.6","MONROE, MI US","   38",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-25","41.9069","-83.4158","178.6","MONROE, MI US","    5",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-26","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-27","41.9069","-83.4158","178.6","MONROE, MI US","   10",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-28","41.9069","-83.4158","178.6","MONROE, MI US","  112",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-29","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-30","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-03-31","41.9069","-83.4158","178.6","MONROE, MI US","  213",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-01","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-02","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-03","41.9069","-83.4158","178.6","MONROE, MI US","  132",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-04","41.9069","-83.4158","178.6","MONROE, MI US","  254",",,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-05","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-06","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-07","41.9069","-83.4158","178.6","MONROE, MI US","   76",",,0,0800","   25",",,0,","   25",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-08","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-09","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-10","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-11","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-12","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-13","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-14","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-15","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-16","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-17","41.9069","-83.4158","178.6","MONROE, MI US","   18",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-18","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-19","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-20","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-21","41.9069","-83.4158","178.6","MONROE, MI US","   13",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-22","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-23","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-24","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-25","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-26","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-27","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-28","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-29","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-04-30","41.9069","-83.4158","178.6","MONROE, MI US","  368",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-01","41.9069","-83.4158","178.6","MONROE, MI US","  114",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-02","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-03","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-04","41.9069","-83.4158","178.6","MONROE, MI US","  191",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-05","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-06","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-07","41.9069","-83.4158","178.6","MONROE, MI US","   51",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-08","41.9069","-83.4158","178.6","MONROE, MI US","  142",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-09","41.9069","-83.4158","178.6","MONROE, MI US","  188",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-10","41.9069","-83.4158","178.6","MONROE, MI US","   33",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-11","41.9069","-83.4158","178.6","MONROE, MI US","   10",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-12","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-13","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-14","41.9069","-83.4158","178.6","MONROE, MI US","    5",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-15","41.9069","-83.4158","178.6","MONROE, MI US","   13",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-16","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-17","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-18","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-19","41.9069","-83.4158","178.6","MONROE, MI US","   25",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-20","41.9069","-83.4158","178.6","MONROE, MI US","    8",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-21","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-22","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-23","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-24","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-25","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-26","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-27","41.9069","-83.4158","178.6","MONROE, MI US","   74",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-28","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-29","41.9069","-83.4158","178.6","MONROE, MI US","    5",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-30","41.9069","-83.4158","178.6","MONROE, MI US","  229",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-05-31","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-01","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-02","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-03","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-04","41.9069","-83.4158","178.6","MONROE, MI US","   13",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-05","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-06","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-07","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-08","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-09","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-10","41.9069","-83.4158","178.6","MONROE, MI US","    8",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-11","41.9069","-83.4158","178.6","MONROE, MI US","  290",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-12","41.9069","-83.4158","178.6","MONROE, MI US","  191",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-13","41.9069","-83.4158","178.6","MONROE, MI US","    3",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-14","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-15","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-16","41.9069","-83.4158","178.6","MONROE, MI US","    8",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-17","41.9069","-83.4158","178.6","MONROE, MI US","   28",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-18","41.9069","-83.4158","178.6","MONROE, MI US","   51",",,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-19","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-20","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-21","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00205563","2003-06-22","41.9069","-83.4158","178.6","MONROE, MI US","    0","P,,0,0900","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
