"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00207320","2004-12-01","41.8069","-83.583","198.7","SAMARIA, MI US","   25",",,0,0800",,,,,"   67",",,0","    6",",,0",,,,,,,"    6",",,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-02","41.8069","-83.583","198.7","SAMARIA, MI US","    0",",,0,0800","    0","P,,0",,,"   61",",,0","  -11",",,0",,,,,,,"  -11",",,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-03","41.8069","-83.583","198.7","SAMARIA, MI US","    0",",,0,0800","    0","P,,0",,,"   44",",,0","  -28",",,0",,,,,,,"  -28",",I,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-04","41.8069","-83.583","198.7","SAMARIA, MI US","    0","P,,0,0800","    0","P,,0","    0","P,,0","   22",",,0","  -11",",I,0",,,,,,,"  -11",",,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-05","41.8069","-83.583","198.7","SAMARIA, MI US",,,"    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00207320","2004-12-06","41.8069","-83.583","198.7","SAMARIA, MI US",,,"    0","P,,0","    0","P,,0","   56",",,0","   28",",,0","    2",",,0","    8",",,0",,,"   28",",I,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-07","41.8069","-83.583","198.7","SAMARIA, MI US","   76",",,0,0800","    0","P,,0","    0","P,,0","   78",",,0","   61",",I,0",,,,,,,"   61",",,0,0800",,,"    1",",,0",,,,,,,,
"USC00207320","2004-12-08","41.8069","-83.583","198.7","SAMARIA, MI US","  254",",,0,0800","    0","P,,0","    0",",,0","  156",",,0","   39",",,0",,,,,,,"   39",",,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-09","41.8069","-83.583","198.7","SAMARIA, MI US","    3",",,0,0800","    0","P,,0","    0",",,0","   83",",,0","   17",",,0",,,,,,,"   17",",I,0,0800",,,,,,,,,,,,
"USC00207320","2004-12-10","41.8069","-83.583","198.7","SAMARIA, MI US","    8",",,0,0800","    0",",,0","    0",",,0","   72",",,0","   50",",I,0",,,,,,,"   50",",,0,0800",,,,,,,,,,,,
